transaction_no,buy/sell,date,price
1,BUY,2023-12-15 16:15:00+05:30,766730
2,SELL,2023-12-15 19:30:00+05:30,779870
3,BUY,2023-12-15 21:45:00+05:30,779480
4,SELL,2023-12-15 23:00:00+05:30,779480
5,BUY,2023-12-18 17:00:00+05:30,784460
6,SELL,2023-12-18 23:00:00+05:30,779000
7,BUY,2023-12-19 22:15:00+05:30,779050
8,SELL,2023-12-19 23:00:00+05:30,779050
9,BUY,2023-12-20 09:00:00+05:30,778780
10,SELL,2023-12-20 18:15:00+05:30,778780
11,BUY,2023-12-20 21:30:00+05:30,784820
12,SELL,2023-12-20 23:00:00+05:30,784900
13,BUY,2023-12-21 11:45:00+05:30,786140
14,SELL,2023-12-21 17:15:00+05:30,784300
15,BUY,2023-12-21 21:15:00+05:30,787500
16,SELL,2023-12-21 23:00:00+05:30,787500
17,BUY,2023-12-22 16:30:00+05:30,787900
18,SELL,2023-12-22 23:00:00+05:30,785450
19,BUY,2023-12-26 13:00:00+05:30,787140
20,SELL,2023-12-26 16:45:00+05:30,785690
21,BUY,2023-12-27 14:30:00+05:30,784370
22,SELL,2023-12-27 18:00:00+05:30,782400
23,BUY,2023-12-27 21:45:00+05:30,787290
24,SELL,2023-12-27 23:00:00+05:30,787150
25,BUY,2023-12-28 09:00:00+05:30,788600
26,SELL,2023-12-28 13:45:00+05:30,786780
27,BUY,2023-12-29 22:45:00+05:30,779030
28,SELL,2023-12-29 23:00:00+05:30,778270
29,BUY,2024-01-01 09:00:00+05:30,779420
30,SELL,2024-01-02 18:00:00+05:30,779000
31,BUY,2024-01-05 09:00:00+05:30,760900
32,SELL,2024-01-05 14:00:00+05:30,757990
33,BUY,2024-01-05 22:00:00+05:30,763080
34,SELL,2024-01-05 23:00:00+05:30,761770
35,BUY,2024-01-08 22:15:00+05:30,760000
36,SELL,2024-01-08 23:00:00+05:30,759260
37,BUY,2024-01-09 09:00:00+05:30,759360
38,SELL,2024-01-09 22:15:00+05:30,758000
39,BUY,2024-01-10 15:00:00+05:30,757710
40,SELL,2024-01-10 23:00:00+05:30,755660
41,BUY,2024-01-11 10:00:00+05:30,756400
42,SELL,2024-01-11 16:30:00+05:30,756470
43,BUY,2024-01-12 11:15:00+05:30,752870
44,SELL,2024-01-12 20:00:00+05:30,763150
45,BUY,2024-01-12 20:15:00+05:30,762310
46,SELL,2024-01-12 23:00:00+05:30,758910
47,BUY,2024-01-15 11:15:00+05:30,761680
48,SELL,2024-01-15 20:30:00+05:30,759990
49,BUY,2024-01-17 17:15:00+05:30,754290
50,SELL,2024-01-17 21:45:00+05:30,751630
51,BUY,2024-01-18 13:45:00+05:30,751020
52,SELL,2024-01-18 16:15:00+05:30,750020
53,BUY,2024-01-19 09:00:00+05:30,751220
54,SELL,2024-01-19 21:15:00+05:30,750740
55,BUY,2024-01-23 09:00:00+05:30,744900
56,SELL,2024-01-23 16:15:00+05:30,744130
57,BUY,2024-01-23 22:15:00+05:30,745620
58,SELL,2024-01-23 23:00:00+05:30,744900
59,BUY,2024-01-24 13:30:00+05:30,749210
60,SELL,2024-01-24 22:30:00+05:30,751700
61,BUY,2024-01-25 13:45:00+05:30,752400
62,SELL,2024-01-25 23:00:00+05:30,751810
63,BUY,2024-01-29 11:15:00+05:30,754500
64,SELL,2024-01-29 23:00:00+05:30,758150
65,BUY,2024-01-30 09:00:00+05:30,757820
66,SELL,2024-01-30 17:15:00+05:30,757930
67,BUY,2024-01-31 21:30:00+05:30,758730
68,SELL,2024-01-31 23:00:00+05:30,758140
69,BUY,2024-02-01 21:45:00+05:30,756660
70,SELL,2024-02-01 23:00:00+05:30,756600
71,BUY,2024-02-02 09:00:00+05:30,757100
72,SELL,2024-02-02 21:00:00+05:30,748570
73,BUY,2024-02-06 12:45:00+05:30,743500
74,SELL,2024-02-06 16:00:00+05:30,742250
75,BUY,2024-02-06 22:00:00+05:30,743750
76,SELL,2024-02-06 23:00:00+05:30,743500
77,BUY,2024-02-07 21:00:00+05:30,742990
78,SELL,2024-02-07 23:00:00+05:30,741910
79,BUY,2024-02-08 17:15:00+05:30,741650
80,SELL,2024-02-08 23:00:00+05:30,744600
81,BUY,2024-02-09 09:00:00+05:30,747000
82,SELL,2024-02-09 22:30:00+05:30,744840
83,BUY,2024-02-12 11:15:00+05:30,749290
84,SELL,2024-02-12 21:15:00+05:30,747240
85,BUY,2024-02-13 15:00:00+05:30,751640
86,SELL,2024-02-13 20:15:00+05:30,738820
87,BUY,2024-02-14 20:45:00+05:30,737670
88,SELL,2024-02-14 23:00:00+05:30,740500
89,BUY,2024-02-15 09:00:00+05:30,741990
90,SELL,2024-02-15 23:00:00+05:30,749220
91,BUY,2024-02-16 09:45:00+05:30,750390
92,SELL,2024-02-16 23:00:00+05:30,756990
93,BUY,2024-02-19 09:00:00+05:30,755390
94,SELL,2024-02-19 11:45:00+05:30,753700
95,BUY,2024-02-19 17:00:00+05:30,754790
96,SELL,2024-02-19 19:45:00+05:30,753290
97,BUY,2024-02-20 15:45:00+05:30,752800
98,SELL,2024-02-20 22:45:00+05:30,752750
99,BUY,2024-02-21 11:15:00+05:30,753590
100,SELL,2024-02-21 14:45:00+05:30,752460
101,BUY,2024-02-22 12:30:00+05:30,750880
102,SELL,2024-02-22 20:15:00+05:30,748900
103,BUY,2024-02-23 17:45:00+05:30,747450
104,SELL,2024-02-23 23:00:00+05:30,749420
105,BUY,2024-02-27 14:00:00+05:30,745100
106,SELL,2024-02-27 22:15:00+05:30,741700
107,BUY,2024-02-28 19:15:00+05:30,738380
108,SELL,2024-02-28 23:00:00+05:30,738020
109,BUY,2024-02-29 11:00:00+05:30,739400
110,SELL,2024-02-29 15:30:00+05:30,737520
111,BUY,2024-02-29 21:15:00+05:30,742110
112,SELL,2024-02-29 23:00:00+05:30,740890
113,BUY,2024-03-01 09:00:00+05:30,742820
114,SELL,2024-03-01 15:00:00+05:30,741500
115,BUY,2024-03-01 17:30:00+05:30,741760
116,SELL,2024-03-01 23:00:00+05:30,749310
117,BUY,2024-03-04 09:00:00+05:30,748350
118,SELL,2024-03-04 21:30:00+05:30,759820
119,BUY,2024-03-04 21:45:00+05:30,759330
120,SELL,2024-03-04 23:00:00+05:30,759000
121,BUY,2024-03-05 09:00:00+05:30,759130
122,SELL,2024-03-05 23:00:00+05:30,760010
123,BUY,2024-03-06 13:30:00+05:30,759270
124,SELL,2024-03-06 23:00:00+05:30,765240
125,BUY,2024-03-07 09:00:00+05:30,764150
126,SELL,2024-03-07 12:45:00+05:30,764530
127,BUY,2024-03-07 15:30:00+05:30,766400
128,SELL,2024-03-07 23:00:00+05:30,767100
129,BUY,2024-03-08 19:15:00+05:30,768780
130,SELL,2024-03-08 23:00:00+05:30,769000
131,BUY,2024-03-11 15:30:00+05:30,768770
132,SELL,2024-03-11 23:00:00+05:30,769520
133,BUY,2024-03-13 14:30:00+05:30,766090
134,SELL,2024-03-13 22:15:00+05:30,776300
135,BUY,2024-03-13 22:30:00+05:30,776350
136,SELL,2024-03-13 23:00:00+05:30,775620
137,BUY,2024-03-14 09:00:00+05:30,777100
138,SELL,2024-03-14 21:45:00+05:30,776240
139,BUY,2024-03-15 11:00:00+05:30,781300
140,SELL,2024-03-15 23:00:00+05:30,780580
141,BUY,2024-03-18 15:00:00+05:30,780500
142,SELL,2024-03-18 21:30:00+05:30,779070
143,BUY,2024-03-20 09:30:00+05:30,778360
144,SELL,2024-03-20 23:00:00+05:30,777980
145,BUY,2024-03-21 11:15:00+05:30,789600
146,SELL,2024-03-21 16:00:00+05:30,787640
147,BUY,2024-03-22 16:30:00+05:30,774440
148,SELL,2024-03-22 23:00:00+05:30,774500
149,BUY,2024-03-25 19:15:00+05:30,776850
150,SELL,2024-03-25 23:00:00+05:30,775710
151,BUY,2024-03-26 16:30:00+05:30,777330
152,SELL,2024-03-26 21:00:00+05:30,771770
153,BUY,2024-03-27 16:45:00+05:30,773740
154,SELL,2024-03-27 23:00:00+05:30,772670
155,BUY,2024-03-28 09:30:00+05:30,774400
156,SELL,2024-03-28 14:45:00+05:30,771500
157,BUY,2024-03-28 19:30:00+05:30,773670
158,SELL,2024-03-28 23:00:00+05:30,777000
159,BUY,2024-04-01 09:00:00+05:30,782000
160,SELL,2024-04-01 16:00:00+05:30,781910
161,BUY,2024-04-02 11:15:00+05:30,785670
162,SELL,2024-04-02 23:00:00+05:30,794000
163,BUY,2024-04-03 09:00:00+05:30,803600
164,SELL,2024-04-03 23:00:00+05:30,812400
165,BUY,2024-04-04 09:00:00+05:30,816190
166,SELL,2024-04-04 19:30:00+05:30,819500
167,BUY,2024-04-04 22:00:00+05:30,821500
168,SELL,2024-04-04 23:00:00+05:30,822000
profit_percent,profit
1.74,17380
